GRPO Finetuning Log - Started at 2026-02-19 15:34:01
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, d_model=64, nhead=4, num_layers=3, pretrained_path='airl_grpo_latest.pth', iterations=500, num_prompts=32, group_size=8, policy_updates=10, batch_size=64, lr=0.0001, clip_epsilon=0.2, entropy_coef=0.01, max_grad_norm=1.0, seed=42, no_cuda=False, use_bc_loss=True, bc_coef=0.1, expert_trajs_per_iter=20, use_her=True, her_in_bc=True, her_ratio=0.2, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=5e-06, best_save_path='grpo_best.pth', latest_save_path='grpo_latest.pth', log_file='grpo_log.txt')
Iter	Policy Loss	Avg Reward	Avg Eval Reward	Avg Hue L1	Avg Value L1
333	0.049601	-0.702977	4.893917	0.003706	0.011650
334	-0.005030	-0.484617	1.493790	0.003126	0.011675
335	0.034844	-0.748177	-2.916169	0.002859	0.009041
336	-0.168743	-0.616919	0.932256	0.002687	0.009216
337	0.197821	-0.520782	4.028762	0.003329	0.010854
338	0.027247	-0.435124	2.197320	0.003980	0.009838
339	0.129218	-0.686306	3.123393	0.003405	0.009918
340	0.086746	-0.615869	0.345466	0.003427	0.008411
341	0.138875	-0.638465	1.782221	0.003676	0.013070
342	0.102638	-0.679539	3.390859	0.003816	0.008777
343	0.004613	-0.419896	1.611151	0.003084	0.012060
344	0.060746	-0.373188	4.698395	0.004074	0.009258
345	0.241008	-0.540707	-1.656910	0.002911	0.012039
346	0.169670	-0.499081	0.027762	0.003533	0.012311
347	0.366617	-0.657828	1.251190	0.003259	0.010672
348	0.177413	-0.495516	1.352299	0.003782	0.010283
349	0.169912	-0.453512	1.734600	0.002964	0.009796
350	0.281746	-0.412012	3.031949	0.003248	0.011771
351	0.204359	-0.673403	0.601638	0.003238	0.010918
352	0.037864	-0.525280	5.440686	0.003185	0.009715
353	-0.009625	-0.555681	3.775262	0.002960	0.012648
354	-0.103395	-0.417383	3.116318	0.003103	0.010751
355	-0.008985	-0.614772	2.913754	0.002999	0.013029
356	0.002915	-0.593345	1.927400	0.003186	0.010950
357	-0.091789	-0.667572	-1.920412	0.003098	0.009577
358	-0.008528	-0.220043	-2.950893	0.003207	0.011236
359	0.057990	-0.745119	3.371917	0.003370	0.011785
360	0.049374	-0.375856	3.292751	0.003224	0.013347
361	-0.011858	-0.491607	1.932162	0.003302	0.008276
362	0.132827	-0.602072	8.017569	0.003327	0.011845
363	0.298724	-0.499606	6.944768	0.002571	0.010383
364	0.228442	-0.763326	1.314907	0.002992	0.013903
365	-0.087160	-0.398997	4.442110	0.002864	0.011859
366	0.271014	-0.857942	2.808389	0.002638	0.012923
367	0.004741	-0.688129	0.753443	0.003321	0.012471
368	-0.037547	-0.552392	1.598774	0.003203	0.010959
369	0.065746	-0.344470	3.104172	0.003556	0.013021
370	-0.030862	-0.524231	7.038663	0.004162	0.009824
371	0.132705	-0.620589	-2.149800	0.003317	0.011028
372	0.125554	-0.536903	0.767106	0.003628	0.008488
373	0.186477	-0.267752	3.767847	0.003646	0.010513
374	0.254822	-0.735443	8.178453	0.003634	0.010291
375	0.256736	-0.483036	2.674071	0.003234	0.011292
376	0.151988	-0.553118	-1.806501	0.003136	0.008971
377	-0.088626	-0.716595	3.192817	0.003795	0.012104
378	0.070142	-0.675087	0.808556	0.003117	0.011471
379	0.058695	-0.340289	5.207043	0.003571	0.012869
380	0.371638	-0.585758	0.003332	0.003326	0.010535
381	0.308306	-0.633880	-0.628305	0.003102	0.010608
382	-0.013299	-0.603354	2.269478	0.003067	0.009108
383	0.141396	-0.606263	2.327399	0.003592	0.008650
384	0.185887	-0.903059	-1.073250	0.003529	0.010594
385	0.044663	-0.451301	-2.436906	0.003084	0.010349
386	0.122875	-0.460058	2.258946	0.003044	0.010475
387	-0.007162	-0.359924	3.588353	0.002853	0.010712
388	0.013781	-0.652629	-5.143805	0.003023	0.014118
389	0.056176	-0.433349	2.412441	0.002444	0.010856
390	0.157446	-0.535919	3.547646	0.003220	0.009581
391	0.161816	-0.310833	1.104394	0.003678	0.009956
392	-0.026872	-0.494741	3.658375	0.003051	0.011559
393	0.202503	-0.428092	4.731806	0.003478	0.012395
394	0.302527	-0.683382	-0.578063	0.003353	0.010175
395	0.104494	-0.510968	3.656114	0.002758	0.010696
396	0.155480	-0.739632	6.851515	0.003540	0.012242
397	0.196100	-0.564311	0.865909	0.003454	0.011556
398	0.087540	-0.743934	0.783924	0.003219	0.010340
399	-0.008684	-0.561491	3.893806	0.003907	0.012953
400	0.162175	-0.690064	6.231457	0.003652	0.012341
401	0.016218	-0.448195	4.933776	0.003365	0.013434
402	0.169885	-0.603524	1.331222	0.003122	0.011590
403	0.071525	-0.382343	3.160877	0.003690	0.009493
404	0.142387	-0.500969	2.166827	0.003569	0.010187
405	0.087123	-0.572623	3.556377	0.003121	0.010595
406	-0.102242	-0.674637	-0.206246	0.003563	0.010086
407	0.138374	-0.744940	-1.554170	0.003388	0.009680
408	0.348385	-0.458649	4.360575	0.003844	0.010625
409	0.149864	-0.658935	6.166104	0.003777	0.011323
410	-0.086104	-0.246818	3.800920	0.003118	0.012967
411	0.085274	-0.694429	5.870370	0.003332	0.011036
412	0.249514	-0.482089	4.946330	0.002508	0.011188
413	-0.017994	-0.442373	2.694639	0.003190	0.010870
414	0.005800	-0.353841	0.887807	0.003171	0.009822
415	0.053453	-0.632751	-0.071762	0.003592	0.007547
416	-0.029765	-0.571675	6.986832	0.003393	0.011926
417	0.214460	-0.514573	1.979751	0.003111	0.009371
418	0.102916	-0.755610	0.707161	0.003339	0.009658
419	-0.110255	-0.325545	0.363462	0.003365	0.009962
420	0.209407	-0.595034	5.162525	0.003407	0.010385
421	0.129078	-0.623798	-2.115691	0.002758	0.008191
422	0.232776	-0.476070	3.579063	0.003058	0.013281
